user_id,days_recorded,avg_daily_steps,avg_sedentary_minutes,avg_sedentary_hours,avg_very_active_minutes,avg_fairly_active_minutes,avg_lightly_active_minutes,est_weekly_moderate_minutes,cdc_activity_status
8877689391,31,16040.0,1113.0,18.5,66.0,10.0,235.0,532.0,Meets guideline
8053475328,31,14763.0,1148.0,19.1,85.0,10.0,151.0,663.0,Meets guideline
1503960366,31,12117.0,848.0,14.1,39.0,19.0,220.0,405.0,Meets guideline
2022484408,31,11371.0,1113.0,18.5,36.0,19.0,257.0,390.0,Meets guideline
7007744171,26,11323.0,1055.0,17.6,31.0,16.0,281.0,331.0,Meets guideline
3977333714,30,10985.0,708.0,11.8,19.0,61.0,175.0,561.0,Meets guideline
4388161847,31,10814.0,837.0,13.9,23.0,20.0,229.0,305.0,Meets guideline
6962181067,31,9795.0,662.0,11.0,23.0,19.0,246.0,289.0,Meets guideline
2347167796,18,9520.0,687.0,11.5,14.0,21.0,253.0,238.0,Meets guideline
7086361926,31,9372.0,850.0,14.2,43.0,25.0,144.0,476.0,Meets guideline
8378563200,31,8718.0,716.0,11.9,59.0,10.0,156.0,483.0,Meets guideline
5553957443,31,8613.0,668.0,11.1,23.0,13.0,206.0,255.0,Meets guideline
4702921684,31,8572.0,766.0,12.8,5.0,26.0,237.0,218.0,Meets guideline
5577150313,30,8304.0,754.0,12.6,87.0,30.0,148.0,820.0,Meets guideline
4558609924,31,7685.0,1094.0,18.2,10.0,14.0,285.0,169.0,Meets guideline
2873212765,31,7556.0,1097.0,18.3,14.0,6.0,308.0,142.0,Below guideline
1644430081,30,7283.0,1162.0,19.4,10.0,21.0,178.0,217.0,Meets guideline
4319703577,31,7269.0,736.0,12.3,4.0,12.0,229.0,111.0,Below guideline
8583815059,31,7199.0,1267.0,21.1,10.0,22.0,138.0,223.0,Meets guideline
6117666160,28,7047.0,796.0,13.3,2.0,2.0,288.0,25.0,Below guideline
3372868164,20,6862.0,1078.0,18.0,9.0,4.0,328.0,93.0,Below guideline
8253242879,19,6482.0,1287.0,21.5,21.0,14.0,117.0,244.0,Meets guideline
1624580081,31,5744.0,1258.0,21.0,9.0,6.0,153.0,101.0,Below guideline
6290855005,29,5650.0,1193.0,19.9,3.0,4.0,227.0,46.0,Below guideline
2026352035,31,5567.0,689.0,11.5,0.0,0.0,257.0,2.0,Below guideline
4445114986,31,4797.0,830.0,13.8,7.0,2.0,209.0,58.0,Below guideline
2320127002,31,4717.0,1220.0,20.3,1.0,3.0,198.0,28.0,Below guideline
4057192912,4,3838.0,1217.0,20.3,1.0,2.0,103.0,16.0,Below guideline
1844505072,31,2580.0,1207.0,20.1,0.0,1.0,115.0,10.0,Below guideline
6775888955,26,2520.0,1299.0,21.7,11.0,15.0,40.0,181.0,Meets guideline
4020332650,31,2267.0,1237.0,20.6,5.0,5.0,77.0,74.0,Below guideline
8792009665,29,1854.0,1060.0,17.7,1.0,4.0,92.0,35.0,Below guideline
1927972279,31,916.0,1317.0,22.0,1.0,1.0,39.0,15.0,Below guideline
